ArraySize,InsertionSortTimeNs,LastQuickSortTimeNs
100,236100,355800
200,3100,165500
300,4400,113101
400,6401,176799
500,7300,270999
600,9500,443600
700,11199,633401
800,11100,683700
900,12800,1732900
1000,15600,1862100
1100,14900,2492300
1200,16500,1615100
1300,17300,95499
1400,18800,107600
1500,22300,121700
1600,23199,138301
1700,25201,158400
1800,25199,173000
1900,27700,191700
2000,36501,213500
2100,29900,234099
2200,30900,254000
2300,33500,427400
2400,33001,302200
2500,37000,327400
2600,37101,421800
2700,39699,375000
2800,38400,423801
2900,38500,435800
3000,40001,459700
3100,42900,530301
3200,42600,520100
3300,43700,554299
3400,46000,689000
3500,47500,626500
3600,24001,660099
3700,12999,699699
3800,11800,725399
3900,12100,765600
4000,12900,993600
4100,14000,845300
4200,12900,887400
4300,13700,954499
4400,14200,969800
4500,14700,1016801
4600,19000,1069100
4700,10101,1127599
4800,16000,1154001
4900,16000,1199700
5000,16401,1250100
5100,32900,1423401
5200,17500,1349000
5300,27101,1387101
5400,251900,1631301
5500,4000,1726900
5600,900,1553999
5700,1000,1604900
5800,600,1655599
5900,601,1711300
6000,700,1849400
6100,700,1839201
6200,900,1895200
6300,700,2166200
6400,1000,2019900
6500,700,2069199
6600,700,2127700
6700,900,2213800
6800,1300,2395401
6900,1300,2370300
7000,1000,2561299
7100,1000,2625399
7200,900,2583300
7300,900,2869800
7400,900,2677400
7500,1400,2867700
7600,800,3790000
7700,1200,2906201
7800,999,2988801
7900,1201,3074200
8000,1199,3123500
8100,899,3448900
8200,1600,3281600
8300,1000,3350701
8400,900,3430400
8500,900,4164001
8600,1599,3890099
8700,1000,3697600
8800,900,3765700
8900,900,4567999
9000,1800,4269201
9100,1100,4040400
9200,1100,4117800
9300,1000,5700500
9400,1300,4329700
9500,1099,4394600
9600,1100,4576899
9700,1300,4769200
9800,1100,4705500
9900,1200,4777700
10000,1299,5906600
