ArraySize,InsertionSortTimeNs,LastQuickSortTimeNs
10,600,2000
20,900,31100
30,800,13400
40,901,36700
50,1100,115601
60,1100,24001
70,1300,31600
80,1401,17800
90,1699,15200
100,1900,19599
110,2100,16300
120,2000,19300
130,2300,29800
140,2599,33301
150,2800,26000
160,2801,28900
170,2900,32199
180,3000,36099
190,3100,39800
200,3701,43800
210,3600,48099
220,3900,52600
230,3999,57401
240,3800,62500
250,4701,67900
260,5000,73000
270,4900,78400
280,4900,84400
290,5200,90400
300,5301,96700
310,5300,128499
320,5200,110500
330,5001,54599
340,5099,10701
350,6200,10700
360,5701,14500
370,5901,11699
380,6300,12099
390,6599,12301
400,6900,12800
410,7100,13600
420,7100,16400
430,7400,15500
440,7699,15300
450,7499,15800
460,7800,16300
470,7600,17200
480,6901,19700
490,6901,18700
500,7799,19001
510,8100,19900
520,8200,20400
530,8401,27000
540,8901,21699
550,9200,22600
560,8300,23201
570,9501,24000
580,9100,24599
590,10400,27500
600,9501,26400
610,10201,26900
620,11001,28400
630,10699,28799
640,11400,29400
650,11799,32501
660,10001,30900
670,9999,32601
680,11099,32900
690,10700,33800
700,11099,37000
710,10699,35301
720,10700,36199
730,11800,37199
740,12200,44100
750,12001,39201
760,11699,42001
770,12200,40999
780,13300,41800
790,13000,42901
800,13200,43600
810,14200,44799
820,14400,48001
830,13100,47500
840,12400,48100
850,13900,48900
860,14600,49999
870,13900,50899
880,14700,55100
890,14600,52900
900,14300,54299
910,14400,55400
920,12900,57100
930,13400,59800
940,13600,58701
950,13400,59700
960,13301,61700
970,13200,62100
980,14600,63100
990,16700,83199
1000,12499,67401
