ArraySize,InsertionSortTimeNs,LastQuickSortTimeNs
100,2200,236400
200,4700,9400
300,8001,13800
400,12100,18400
500,16899,23301
600,22099,29199
700,28300,33000
800,37001,37899
900,44700,45700
1000,55600,49000
1100,66000,54900
1200,77000,59600
1300,90200,65799
1400,102699,73400
1500,122600,86300
1600,134599,80800
1700,150400,87900
1800,167801,97000
1900,139300,73200
2000,152200,79900
2100,171500,84601
2200,181600,86100
2300,200200,90400
2400,220200,94999
2500,230599,102300
2600,249700,104501
2700,267700,110399
2800,294101,116899
2900,309599,117200
3000,333701,126601
3100,352700,133101
3200,369500,131600
3300,414200,137600
3400,419700,142900
3500,453700,148200
3600,483900,155599
3700,498501,160500
3800,522800,175200
3900,588600,179000
4000,594100,176700
4100,609100,179999
4200,725100,187900
4300,668300,185901
4400,736700,207700
4500,727201,193500
4600,760300,200799
4700,792900,209800
4800,828900,205100
4900,861900,216101
5000,901300,215900
5100,965801,223500
5200,1362800,238600
5300,1057000,238800
5400,1087600,244600
5500,1105601,241100
5600,1396300,257799
5700,1200700,256100
5800,1225299,256000
5900,1231199,257600
6000,1300899,268999
6100,1347200,283800
6200,1494800,274900
6300,1451600,280000
6400,1490199,291600
6500,1682500,295800
6600,1612000,318600
6700,1592999,309300
6800,1658000,310499
6900,1722701,315999
7000,1773900,330600
7100,1823101,321900
7200,1931000,334500
7300,2502799,336300
7400,1957500,348600
7500,2050300,343000
7600,2171700,342700
7700,2131300,345000
7800,2237600,360399
7900,2540899,406801
8000,2318201,361100
8100,2372800,378200
8200,2457500,381200
8300,2463800,383500
8400,2560401,381500
8500,3625101,550100
8600,2786899,404000
8700,2737200,396500
8800,2772100,408400
8900,2796601,895301
9000,3185300,428700
9100,2989099,416699
9200,3102400,576600
9300,3617799,450800
9400,4678600,443300
9500,3247100,447299
9600,3298000,447799
9700,3372900,458900
9800,3952200,469601
9900,3517800,475600
10000,3582801,490000
