ArraySize,InsertionSortTimeNs,LastQuickSortTimeNs
10,400,500
20,400,700
30,700,1100
40,800,1600
50,1000,1799
60,1200,1899
70,9301,3299
80,2000,2901
90,1900,2699
100,1900,3200
110,2099,3300
120,2400,4100
130,3101,5100
140,2400,4500
150,2900,4800
160,3799,6301
170,3500,5800
180,3900,6200
190,3599,6101
200,4201,6300
210,4100,6499
220,4300,6999
230,4300,7600
240,4699,7901
250,5000,8099
260,5499,8001
270,6001,8799
280,5999,9301
290,6401,10099
300,6799,9901
310,7000,10700
320,7100,10899
330,7199,11201
340,8000,11099
350,8200,11500
360,8100,12399
370,20299,16200
380,11199,15700
390,10699,15900
400,16600,15500
410,10700,14700
420,11101,15400
430,10999,15200
440,11800,16200
450,13001,24401
460,12200,17500
470,12300,17700
480,13300,17000
490,13201,22401
500,30300,17501
510,13601,18199
520,14200,18701
530,14400,18900
540,14900,19600
550,14800,20600
560,15600,20199
570,15200,20600
580,15200,20099
590,15500,21200
600,16000,20501
610,16900,22100
620,17100,21900
630,17501,22000
640,18200,22599
650,18200,24399
660,19601,49600
670,22501,26800
680,21899,27401
690,22700,27499
700,22600,27599
710,23001,28600
720,22699,27901
730,24701,25800
740,23000,26100
750,23200,27400
760,23399,27900
770,23100,26299
780,24601,27100
790,24800,27701
800,26000,29200
810,26700,27999
820,26300,29300
830,29400,30100
840,27200,29500
850,28300,30100
860,158900,36099
870,32700,32599
880,33200,38799
890,36000,34299
900,35400,34100
910,41701,34199
920,34401,34400
930,33001,35900
940,34099,35001
950,34300,37199
960,35900,35400
970,36501,36300
980,36701,36500
990,36899,37201
1000,37499,36700
