ArraySize,InsertionSortTimeNs,LastQuickSortTimeNs
100,36700,130600
200,73600,136700
300,87599,103900
400,139600,159000
500,225301,326900
600,379001,478600
700,543500,532400
800,170900,636299
900,198800,1005301
1000,238000,1469300
1100,286000,870300
1200,316801,475800
1300,959600,631099
1400,172300,709100
1500,166500,740400
1600,187501,846900
1700,214700,1127799
1800,618799,1413200
1900,298099,536201
2000,289400,604999
2100,323901,650300
2200,348899,719200
2300,386900,783901
2400,416900,853600
2500,455100,927300
2600,490500,1347000
2700,583200,1126700
2800,564100,1168100
2900,605499,1305000
3000,658500,1334400
3100,716100,1428901
3200,731500,1526100
3300,782299,1621500
3400,834400,4066800
3500,1311499,1933800
3600,926699,1954900
3700,978400,2057301
3800,1046500,2139700
3900,1734300,2379400
4000,1200000,2390301
4100,1200600,2490300
4200,1272000,2614001
4300,1973800,3593500
4400,1418400,3123101
4500,1572200,3044600
4600,1506600,3832500
4700,1583301,3288599
4800,1679600,3459999
4900,1730600,4135101
5000,1790799,3705999
5100,1852300,3853700
5200,1911600,6304399
5300,1993701,4193300
5400,2069400,5113500
5500,4108000,5185099
5600,2287601,6269900
5700,2298900,4856600
5800,2378801,6239600
5900,3021400,7164200
6000,4395900,5589000
6100,2704400,6076900
6200,3454400,5919799
6300,3433001,7236600
6400,2901200,6184199
6500,2991800,6412001
6600,3145100,6586199
6700,3233401,6843501
6800,3298799,7500201
6900,4731501,7076101
7000,3564501,7436600
7100,3568300,7589499
7200,3867900,8959700
7300,5397200,9064199
7400,4158099,8336899
7500,4014000,9427001
7600,4222901,8890099
7700,4337400,11232300
7800,5015500,9073900
7900,4445300,9180600
8000,4581400,9501200
8100,6774100,11029600
8200,4806301,12174200
8300,4864200,10403400
8400,5055301,11553601
8500,5106800,11875900
8600,5332300,11356400
8700,5327000,11832100
8800,6397100,11754099
8900,6108199,11832400
9000,6107701,11947400
9100,6523401,14151401
9200,6010800,14398301
9300,6236400,12873800
9400,7361301,14580301
9500,6991401,13710899
9600,7634499,13713200
9700,6769300,14539500
9800,6925600,14663600
9900,7391200,16247901
10000,8041600,17358800
