ArraySize,InsertionSortTimeNs,LastQuickSortTimeNs
10,1000,1100
20,600,2801
30,1000,15800
40,1500,8999
50,2300,12100
60,3100,16701
70,4199,21901
80,6100,27799
90,6899,34701
100,8900,56199
110,10600,40100
120,12499,24500
130,14600,17600
140,23600,20300
150,19501,22800
160,22400,25800
170,25001,29100
180,27799,32501
190,31100,35899
200,34800,40300
210,38100,44100
220,41800,51600
230,45500,52800
240,49799,57201
250,53799,62300
260,59001,67000
270,63001,135599
280,76501,78900
290,91900,84100
300,87000,89800
310,83200,99600
320,89900,552100
330,94200,114699
340,100000,113500
350,105200,120700
360,112099,128201
370,118600,134200
380,125200,149600
390,132800,183001
400,141099,62201
410,146000,67800
420,153000,58900
430,160201,61700
440,168800,64601
450,175200,73199
460,183100,69799
470,191399,73501
480,201500,77600
490,103901,79701
500,108999,83301
510,90699,86301
520,92600,89500
530,94999,153500
540,97900,108100
550,113500,100200
560,111201,104499
570,106900,108100
580,111000,111999
590,119800,167500
600,146200,260700
610,134399,123001
620,122200,127401
630,124500,130899
640,127899,136300
650,171200,146200
660,153200,144100
670,144200,147701
680,146100,271000
690,188199,215000
700,161199,77900
710,154201,78800
720,156801,80600
730,160200,84800
740,163000,88600
750,168700,87000
760,207501,119101
770,164799,94201
780,258400,94600
790,171999,96900
800,173500,101100
810,177801,106900
820,182599,104100
830,186100,105600
840,199600,108600
850,51300,113100
860,49799,115501
870,48900,121100
880,48799,118501
890,67100,124000
900,54100,126800
910,53299,126700
920,226400,219299
930,251200,507500
940,217000,154299
950,65001,150600
960,76200,150700
970,64300,187800
980,79401,180499
990,78600,157801
1000,63200,190700
