ArraySize,LastQuickSortTimeNs,MiddleQuickSortTimeNs,MiddleOfThreeQuickSortTimeNs
10000,464499,492199,833599
20000,1015800,1079001,991500
30000,1601300,3026700,2068800
40000,2229201,2241601,2101899
50000,2775801,3001199,2685000
60000,3364400,3330500,3279400
70000,4081700,3958400,4306400
80000,5577900,5254699,4416800
90000,6267900,5187799,4993999
100000,9526699,5873299,6855100
110000,6410000,8581800,6186400
120000,9480600,7318099,7644600
130000,7695500,7972800,7363199
140000,8310900,8475400,8637299
150000,9874900,8968001,9841399
160000,9767100,10015300,9328600
170000,10157000,11504300,9842100
180000,11750000,12186500,10964499
190000,11560500,12526099,11197500
200000,12449000,13232400,13218300
210000,14411100,12630101,12833501
220000,17335300,13475500,13269101
230000,14827600,16532800,16253900
240000,23118700,25623300,22117701
250000,15674299,17723899,15969000
260000,16329600,18580601,16146801
270000,19003200,17794299,16748400
280000,19018500,17224301,21207800
290000,20158300,18118700,18773900
300000,21259500,18499200,19341900
310000,20829299,19812200,20924099
320000,19759501,21320699,19139800
330000,20560700,21336700,21135700
340000,20936599,21521800,21995700
350000,22748400,23669299,21338000
360000,22729100,22250800,26750599
370000,23566299,24859600,23116500
380000,24224500,28918900,23022400
390000,27046300,25712200,23579300
400000,29541501,27720000,25605900
410000,25712300,25632801,27006299
420000,28157100,26628701,26422900
430000,29591600,31690101,27263600
440000,29618100,28080400,28015800
450000,32831000,29267201,33977100
460000,29775600,30159400,30201000
470000,32763600,31473499,28626701
480000,32700499,31795500,28934301
490000,31122800,34291600,32635500
500000,32414200,33486400,33338099
510000,33735400,33470599,33756900
520000,34127400,34014299,34469400
530000,35889699,39350100,33847799
540000,36001600,35318500,36595899
550000,35701900,36049701,35935801
560000,41772900,36830600,35113201
570000,38911100,43019500,35089100
580000,39843401,37215300,38126900
590000,40486700,40544000,37808000
600000,37963900,40523501,37839500
610000,42534000,44693300,37706899
620000,40212700,39349199,42240600
630000,43762501,45730800,40156000
640000,40981300,42093499,39740600
650000,43163999,43070899,40199500
660000,45466900,43041499,41988300
670000,45836400,44498600,41259900
680000,42359800,46699400,42506399
690000,44946099,45165100,42708900
700000,44987999,43400700,50127600
710000,49377200,45548501,45108299
720000,45823699,50412000,47196600
730000,49359899,47424100,47325400
740000,49791001,49024700,45752500
750000,50546600,48997600,51728200
760000,49780100,50072700,49744601
770000,50262400,52530499,52107100
780000,52699900,50991300,49518400
790000,55058100,55272701,54649099
800000,51411001,51900701,49545800
810000,53514000,56545001,53502700
820000,56644700,52204099,51711501
830000,57278500,53610801,51646400
840000,63545199,55729000,55456600
850000,52607500,52486700,57592600
860000,57498900,58594001,56738901
870000,57746900,58472600,53748099
880000,56561701,65675100,54628800
890000,58407000,56763201,56583500
900000,57368500,61053000,55879000
910000,58704400,58411799,58170100
920000,61248799,58089201,57288000
930000,61470600,64495401,61245700
940000,59148600,63462700,58529300
950000,61655100,61571900,64594700
960000,62603901,65009800,65312801
970000,71486401,63640499,61892600
980000,68404399,65121300,64364900
990000,67442200,67115500,62156300
1000000,67297300,67519399,65560800
