ArraySize,LastQuickSortTimeNs,OnePointerQuickSortTimeNs
10000,490500,753800
20000,1002601,1048501
30000,1835700,1932701
40000,2204399,2171900
50000,3557599,2877600
60000,3392799,3346600
70000,4763000,3860800
80000,4551700,5220200
90000,5214200,5146801
100000,6343300,7458200
110000,6542700,6377700
120000,7003700,7174900
130000,7527300,7932800
140000,8223200,8276399
150000,9082700,8822400
160000,9553701,9838100
170000,9907700,12985400
180000,10900800,11085000
190000,13611700,12996601
200000,13244900,12623299
210000,12986901,13275701
220000,14583601,16090300
230000,14435500,14467900
240000,15727799,15651201
250000,15697200,15769001
260000,17825700,17138100
270000,19089699,18577400
280000,19473200,21584500
290000,22039700,22167800
300000,19235600,19325500
310000,19523800,19812500
320000,19818901,20395600
330000,20466501,20698300
340000,21471799,21113500
350000,24337700,24659700
360000,23634600,22580000
370000,23678101,23451000
380000,24839800,25033601
390000,24400200,24685201
400000,25572901,26035101
410000,25890801,26594500
420000,26067900,26071800
430000,28161100,26951400
440000,28821700,27632901
450000,30326701,29529599
460000,31427299,30025000
470000,30092901,31993900
480000,32562600,31900100
490000,32629000,31353199
500000,34975900,33105500
510000,33380500,32546900
520000,33390000,33617200
530000,35216800,33266901
540000,38000399,34484200
550000,35934001,35721600
560000,39300599,40638400
570000,38220800,38008000
580000,44144701,39889100
590000,40336800,41701100
600000,41463200,41301599
610000,43591799,58201200
620000,42681501,42449201
630000,41617600,43599500
640000,48412299,42649899
650000,42925900,45240301
660000,42775600,45720600
670000,45894200,42365400
680000,44212800,47034900
690000,46846800,44201700
700000,47904000,44567800
710000,47922800,50775000
720000,48921300,48636500
730000,50143500,49419500
740000,49267501,50988900
750000,49776400,50133100
760000,52538701,51372601
770000,49685100,51601000
780000,53935100,50843901
790000,54087700,56268400
800000,55808800,51788499
810000,57039200,56296601
820000,52542500,56508500
830000,58313899,56126500
840000,53962500,53807000
850000,55509500,54702900
860000,54438300,56394999
870000,57967900,59078200
880000,60765400,58677200
890000,58150400,76814199
900000,91586499,57156600
910000,60946701,60142100
920000,64591800,58349199
930000,62925100,61232200
940000,59927901,59137699
950000,61780200,63783099
960000,61321301,65080301
970000,73501299,63247300
980000,63588100,64021300
990000,64252599,63372600
1000000,63765800,61703800
