ArraySize,ForwardSortedTimeNs,RandomTimeNs,ReverseSortedTimeNs
10000,114139200,732700,61760300
20000,442410500,1926500,325894400
30000,972355000,2443700,658755500
40000,1695768301,5675100,1139692200
50000,2753940701,5130100,1848640801
60000,3813200300,7905499,2532351900
70000,5577528100,5953101,3510481799
80000,6944917101,7203800,4536998700
90000,15476497700,16378199,11628437600
100000,21155157300,19569900,10411072600
110000,13467414400,14417700,11806762100
120000,28562515300,23271101,21386242500
130000,328
240000,0,15787000,0
250000,0,16674200,0
260000,0,19994501,0
270000,0,17362901,0
280000,0,19258901,0
290000,0,19682299,0
300000,0,19385400,0
310000,0,21238499,0
320000,0,21765399,0
330000,0,21323700,0
340000,0,21725500,0
350000,0,22748100,0
360000,0,23336800,0
370000,0,24042499,0
380000,0,23391300,0
390000,0,25052801,0
400000,0,26562300,0
410000,0,26277000,0
420000,0,76781900,0
430000,0,30182500,0
440000,0,59662701,0
450000,0,58752300,0
460000,0,92095601,0
470000,0,57785099,0
480000,0,101847200,0
490000,0,1
